timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-07-07T13:56	baseline	trellisx-add	-	85.1	baseline	dim3	缺三段式失败表; 与flow正文重叠	dry_run
2026-07-07T13:56	baseline	trellisx-apply	-	88.4	baseline	dim2	4步工作流压缩过度; 编排细节甩references	dry_run
2026-07-07T13:56	baseline	trellisx-cleanup	-	85.1	baseline	dim3	仅2条核对; 无三段式失败表	dry_run
2026-07-07T13:56	baseline	trellisx-flow	-	92.5	baseline	dim7	铁律/硬规/反例三处重叠 155行冗余	dry_run
2026-07-07T13:56	baseline	trellisx-grill	-	88.3	baseline	dim6	axis-deep-dive.md 标按需建实际不存在	dry_run
2026-07-07T13:56	baseline	trellisx-orchestrate	-	94.6	baseline	dim1	description 无独立触发短语	dry_run
2026-07-07T13:56	baseline	trellisx-spec	-	91.8	baseline	dim3	失败处理平铺非三段式	dry_run
2026-07-07T13:56	baseline	trellisx-workspace	-	87.2	baseline	dim3	仅1处失败兜底; 无失败处理表	dry_run
2026-07-07T13:56	baseline	novelist-character	-	83.5	baseline	dim5	采集项偏引导性非硬格式	dry_run
2026-07-07T13:56	baseline	novelist-check	-	88.7	baseline	dim6	conflict-rubric.md 未内联	dry_run
2026-07-07T13:56	baseline	novelist-craft	-	82.9	baseline	dim3	失败模式仅4条; 检查点仅2处	dry_run
2026-07-07T13:56	baseline	novelist-design	-	80.5	baseline	dim3	失败表有空占位; 步骤输入输出弱	dry_run
2026-07-07T13:56	baseline	novelist-humanize	-	87.9	baseline	dim4	检查点分散未成显性门控; 密度过高	dry_run
2026-07-07T13:56	baseline	novelist-init	-	86.1	baseline	dim3	失败4条+反例4条偏少	dry_run
2026-07-07T13:56	baseline	novelist-lint	-	65.9	baseline	dim3	无失败表/零CHECKPOINT/无反例黑名单 三维塌陷	dry_run
2026-07-07T13:56	baseline	novelist-outline	-	86.0	baseline	dim6	templates未验证; dim5少量软化	dry_run
2026-07-07T13:56	baseline	novelist-pipeline	-	87.3	baseline	dim1	description过长; 表格三处交叠重复	dry_run
2026-07-07T13:56	baseline	novelist-proofread	-	87.7	baseline	dim6	checklist未验证; 门控可收紧	dry_run
2026-07-07T13:56	baseline	novelist-rewrite	-	88.3	baseline	dim6	modes未验证; A/B/C两处重复	dry_run
2026-07-07T13:56	baseline	novelist-trending	-	79.2	baseline	dim4	软化措辞多; 检查点偏协议非用户确认	dry_run
2026-07-07T13:56	baseline	novelist-worldview	-	85.4	baseline	dim6	templates未验证; 反例仅5行单薄	dry_run
2026-07-07T13:56	baseline	novelist-write	-	89.5	baseline	dim6	checklist未验证; 余均衡最高	dry_run
2026-07-07T13:56	baseline	architecture-design	-	85.8	baseline	dim4	CHECKPOINT仅1处; worked example仅1	dry_run
2026-07-07T13:56	baseline	clean-code	-	73.2	baseline	dim4	无失败分支表; 缺when_to_use; 无用户确认检查点	dry_run
2026-07-07T13:56	baseline	oss-license	-	82.2	baseline	dim3	无独立三段式失败处理	dry_run
2026-07-07T13:56	baseline	perf-optimization	-	88.7	baseline	dim6	references未核验; 实质无短板	dry_run
2026-07-07T13:56	baseline	promo-posts	-	80.4	baseline	dim3	缺失败处理表; CHECKPOINT仅1处	dry_run
2026-07-07T13:56	baseline	skill-author	-	78.0	baseline	dim3	失败处理+反模式黑名单外置references 正文不自包含	dry_run
2026-07-07T13:56	baseline	skill-optimizer	-	84.5	baseline	dim1	结构均衡; 无明显低维	dry_run
2026-07-07T13:57	77705745	novelist-lint	65.9	81.4	keep	dim3+4+9	失败表+破坏前CHECKPOINT+反例黑名单	full_test
2026-07-07T14:20	ce3ce9cf	clean-code	73.2	81.8	keep	dim1/dim3/dim4	when_to_use+失败表+行为变更CHECKPOINT	dry_run
2026-07-07T14:35	4b03902c	skill-author	78.0	81.5	keep	dim3	失败处理表内联正文自包含	dry_run
2026-07-07T14:48	6d000872	novelist-trending	82.8	85.2	keep	dim2	补编号主工作流入出四镜片降工具库(判官自基线82.8,loop基线79.2)	dry_run
2026-07-07T15:00	439b59a0	promo-posts	80.5	84.1	keep	dim3	新增失败模式三段式表5行(素材证据/软广/极限词/AI检测/规则变动)	dry_run
2026-07-07T15:08	022ae487	novelist-design	80.5	82.9	keep	dim3	补空兜底+2行编排型失败(被引skill不可用/欲望冲突)	dry_run
2026-07-07T00:00	151d4c9e	oss-license	82.2	84.5	keep	失败模式编码	dim3补失败模式三段式表(skill执行故障区别合规红线,顶部区别声明);判官自基线82.2	dry_run
2026-07-07T00:00	-	novelist-craft	82.9	82.9	skip	-	触顶:无维<8,dim5/3/8单维编辑预期Δ<2且易伤dim7,见好就收(HL-4)	dry_run
2026-07-07T00:00	-	novelist-character	83.5	83.5	skip	-	触顶:无维<8,dim8/5/2单维Δ<2且易伤dim7,三文件正交架构已成熟	dry_run
2026-07-07T00:00	-	skill-optimizer	84.5	84.5	skip	-	触顶:无质量维<8,dim1/4=8,dim2/3/4相关簇已互顶满	dry_run
2026-07-07T00:00	-	architecture-design	85.8	85.8	skip	-	触顶:无质量维<8,dim4=8硬塞🔴伤dim7且w6仅+0.6	dry_run
2026-07-07T00:00	-	perf-optimization	88.7	88.7	skip	-	触顶:无质量维<8,root组最高分,frontmatter/资源=8已上限	dry_run
2026-07-07T00:00	-	novelist-worldview	85.4	85.4	skip	-	触顶:无维<8,dim5 8→9仅+1.7	dry_run
2026-07-07T00:00	-	novelist-outline	86.0	86.0	skip	-	触顶:无维<8,dim9补反例仅+0.6	dry_run
2026-07-07T00:00	-	novelist-init	86.1	86.1	skip	-	触顶:无维<8,工具型分支少补失败行易凑数伤dim7	dry_run
2026-07-07T00:00	-	novelist-pipeline	87.3	87.3	skip	-	触顶:无维<8,dim7两流重述属刻意🔴约束删了伤可靠性	dry_run
2026-07-07T00:00	-	novelist-proofread	87.7	87.7	skip	-	触顶:无维<8,dim8派agent型dry_run难证提升	dry_run
2026-07-07T00:00	-	novelist-humanize	87.9	87.9	skip	-	触顶:无维<8,dim4收拢🔴易伤信息密度	dry_run
2026-07-07T00:00	-	novelist-rewrite	88.3	88.3	skip	-	触顶:无维<8,三模式+闸门+8行失败表已密	dry_run
2026-07-07T00:00	-	novelist-check	88.7	88.7	skip	-	触顶:近满配,唯一dim6 w4仅+0.4杠杆极低	dry_run
2026-07-07T00:00	-	novelist-write	89.5	89.5	skip	-	触顶:近满配,dim6 w4×1仅+0.4无意义	dry_run
